code,title,soc2d,soc3d,soc5d,soc6d,Level,Hierarchical_structure
21-1090,Miscellaneous Community and Social Service Specialists,21-0000,21-1000,21-1090,NA,5,Broad Occupation
21-1091,Health Educators,21-0000,21-1000,21-1090,21-1091,6,Detailed Occupation
21-1092,Probation Officers and Correctional Treatment Specialists,21-0000,21-1000,21-1090,21-1092,6,Detailed Occupation
21-1093,Social and Human Service Assistants,21-0000,21-1000,21-1090,21-1093,6,Detailed Occupation
21-1099,"Community and Social Service Specialists, All Other",21-0000,21-1000,21-1090,21-1099,6,Detailed Occupation
21-2000,Religious Workers,21-0000,21-2000,NA,NA,3,Minor Group
21-2010,Clergy,21-0000,21-2000,21-2010,NA,5,Broad Occupation
21-2011,Clergy,21-0000,21-2000,21-2010,21-2011,6,Detailed Occupation
21-2020,"Directors, Religious Activities and Education",21-0000,21-2000,21-2020,NA,5,Broad Occupation
21-2021,"Directors, Religious Activities and Education",21-0000,21-2000,21-2020,21-2021,6,Detailed Occupation
21-2090,Miscellaneous Religious Workers,21-0000,21-2000,21-2090,NA,5,Broad Occupation
21-2099,"Religious Workers, All Other",21-0000,21-2000,21-2090,21-2099,6,Detailed Occupation
23-0000,Legal Occupations,23-0000,NA,NA,NA,2,Major Group
23-1000,"Lawyers, Judges, and Related Workers",23-0000,23-1000,NA,NA,3,Minor Group
23-1010,Lawyers,23-0000,23-1000,23-1010,NA,5,Broad Occupation
23-1011,Lawyers,23-0000,23-1000,23-1010,23-1011,6,Detailed Occupation
23-1020,"Judges, Magistrates, and Other Judicial Workers",23-0000,23-1000,23-1020,NA,5,Broad Occupation
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-0000,23-1000,23-1020,23-1021,6,Detailed Occupation
23-1022,"Arbitrators, Mediators, and Conciliators",23-0000,23-1000,23-1020,23-1022,6,Detailed Occupation
23-1023,"Judges, Magistrate Judges, and Magistrates",23-0000,23-1000,23-1020,23-1023,6,Detailed Occupation
23-2000,Legal Support Workers,23-0000,23-2000,NA,NA,3,Minor Group
23-2010,Paralegals and Legal Assistants,23-0000,23-2000,23-2010,NA,5,Broad Occupation
23-2011,Paralegals and Legal Assistants,23-0000,23-2000,23-2010,23-2011,6,Detailed Occupation
23-2090,Miscellaneous Legal Support Workers,23-0000,23-2000,23-2090,NA,5,Broad Occupation
23-2091,Court Reporters,23-0000,23-2000,23-2090,23-2091,6,Detailed Occupation
23-2092,Law Clerks,23-0000,23-2000,23-2090,23-2092,6,Detailed Occupation
23-2093,"Title Examiners, Abstractors, and Searchers",23-0000,23-2000,23-2090,23-2093,6,Detailed Occupation
23-2099,"Legal Support Workers, All Other",23-0000,23-2000,23-2090,23-2099,6,Detailed Occupation
25-0000,"Education, Training, and Library Occupations",25-0000,NA,NA,NA,2,Major Group
25-1000,Postsecondary Teachers,25-0000,25-1000,NA,NA,3,Minor Group
25-1010,"Business Teachers, Postsecondary",25-0000,25-1000,25-1010,NA,5,Broad Occupation
25-1011,"Business Teachers, Postsecondary",25-0000,25-1000,25-1010,25-1011,6,Detailed Occupation
25-1020,"Math and Computer Teachers, Postsecondary",25-0000,25-1000,25-1020,NA,5,Broad Occupation
25-1021,"Computer Science Teachers, Postsecondary",25-0000,25-1000,25-1020,25-1021,6,Detailed Occupation
25-1022,"Mathematical Science Teachers, Postsecondary",25-0000,25-1000,25-1020,25-1022,6,Detailed Occupation
25-1030,"Engineering and Architecture Teachers, Postsecondary",25-0000,25-1000,25-1030,NA,5,Broad Occupation
25-1031,"Architecture Teachers, Postsecondary",25-0000,25-1000,25-1030,25-1031,6,Detailed Occupation
25-1032,"Engineering Teachers, Postsecondary",25-0000,25-1000,25-1030,25-1032,6,Detailed Occupation
25-1040,"Life Sciences Teachers, Postsecondary",25-0000,25-1000,25-1040,NA,5,Broad Occupation
25-1041,"Agricultural Sciences Teachers, Postsecondary",25-0000,25-1000,25-1040,25-1041,6,Detailed Occupation
25-1042,"Biological Science Teachers, Postsecondary",25-0000,25-1000,25-1040,25-1042,6,Detailed Occupation
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25-0000,25-1000,25-1040,25-1043,6,Detailed Occupation
25-1050,"Physical Sciences Teachers, Postsecondary",25-0000,25-1000,25-1050,NA,5,Broad Occupation
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-0000,25-1000,25-1050,25-1051,6,Detailed Occupation
25-1052,"Chemistry Teachers, Postsecondary",25-0000,25-1000,25-1050,25-1052,6,Detailed Occupation
25-1053,"Environmental Science Teachers, Postsecondary",25-0000,25-1000,25-1050,25-1053,6,Detailed Occupation
25-1054,"Physics Teachers, Postsecondary",25-0000,25-1000,25-1050,25-1054,6,Detailed Occupation
25-1060,"Social Sciences Teachers, Postsecondary",25-0000,25-1000,25-1060,NA,5,Broad Occupation
25-1061,"Anthropology and Archeology Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1061,6,Detailed Occupation
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1062,6,Detailed Occupation
25-1063,"Economics Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1063,6,Detailed Occupation
25-1064,"Geography Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1064,6,Detailed Occupation
25-1065,"Political Science Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1065,6,Detailed Occupation
25-1066,"Psychology Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1066,6,Detailed Occupation
25-1067,"Sociology Teachers, Postsecondary",25-0000,25-1000,25-1060,25-1067,6,Detailed Occupation
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-0000,25-1000,25-1060,25-1069,6,Detailed Occupation
25-1070,"Health Teachers, Postsecondary",25-0000,25-1000,25-1070,NA,5,Broad Occupation
25-1071,"Health Specialties Teachers, Postsecondary",25-0000,25-1000,25-1070,25-1071,6,Detailed Occupation
25-1072,"Nursing Instructors and Teachers, Postsecondary",25-0000,25-1000,25-1070,25-1072,6,Detailed Occupation
25-1080,"Education and Library Science Teachers, Postsecondary",25-0000,25-1000,25-1080,NA,5,Broad Occupation
25-1081,"Education Teachers, Postsecondary",25-0000,25-1000,25-1080,25-1081,6,Detailed Occupation
25-1082,"Library Science Teachers, Postsecondary",25-0000,25-1000,25-1080,25-1082,6,Detailed Occupation
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-0000,25-1000,25-1110,NA,5,Broad Occupation
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-0000,25-1000,25-1110,25-1111,6,Detailed Occupation
25-1112,"Law Teachers, Postsecondary",25-0000,25-1000,25-1110,25-1112,6,Detailed Occupation
25-1113,"Social Work Teachers, Postsecondary",25-0000,25-1000,25-1110,25-1113,6,Detailed Occupation
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",25-0000,25-1000,25-1120,NA,5,Broad Occupation
25-1121,"Art, Drama, and Music Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1121,6,Detailed Occupation
25-1122,"Communications Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1122,6,Detailed Occupation
25-1123,"English Language and Literature Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1123,6,Detailed Occupation
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1124,6,Detailed Occupation
25-1125,"History Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1125,6,Detailed Occupation
25-1126,"Philosophy and Religion Teachers, Postsecondary",25-0000,25-1000,25-1120,25-1126,6,Detailed Occupation
25-1190,Miscellaneous Postsecondary Teachers,25-0000,25-1000,25-1190,NA,5,Broad Occupation
25-1191,Graduate Teaching Assistants,25-0000,25-1000,25-1190,25-1191,6,Detailed Occupation
25-1192,"Home Economics Teachers, Postsecondary",25-0000,25-1000,25-1190,25-1192,6,Detailed Occupation
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25-0000,25-1000,25-1190,25-1193,6,Detailed Occupation
25-1194,"Vocational Education Teachers, Postsecondary",25-0000,25-1000,25-1190,25-1194,6,Detailed Occupation
25-1199,"Postsecondary Teachers, All Other",25-0000,25-1000,25-1190,25-1199,6,Detailed Occupation
25-2000,"Primary, Secondary, and Special Education School Teachers",25-0000,25-2000,NA,NA,3,Minor Group
25-2010,Preschool and Kindergarten Teachers,25-0000,25-2000,25-2010,NA,5,Broad Occupation
25-2011,"Preschool Teachers, Except Special Education",25-0000,25-2000,25-2010,25-2011,6,Detailed Occupation
25-2012,"Kindergarten Teachers, Except Special Education",25-0000,25-2000,25-2010,25-2012,6,Detailed Occupation
25-2020,Elementary and Middle School Teachers,25-0000,25-2000,25-2020,NA,5,Broad Occupation
25-2021,"Elementary School Teachers, Except Special Education",25-0000,25-2000,25-2020,25-2021,6,Detailed Occupation
25-2022,"Middle School Teachers, Except Special and Vocational Education",25-0000,25-2000,25-2020,25-2022,6,Detailed Occupation
25-2023,"Vocational Education Teachers, Middle School",25-0000,25-2000,25-2020,25-2023,6,Detailed Occupation
25-2030,Secondary School Teachers,25-0000,25-2000,25-2030,NA,5,Broad Occupation
25-2031,"Secondary School Teachers, Except Special and Vocational Education",25-0000,25-2000,25-2030,25-2031,6,Detailed Occupation
25-2032,"Vocational Education Teachers, Secondary School",25-0000,25-2000,25-2030,25-2032,6,Detailed Occupation
25-2040,Special Education Teachers,25-0000,25-2000,25-2040,NA,5,Broad Occupation
25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",25-0000,25-2000,25-2040,25-2041,6,Detailed Occupation
25-2042,"Special Education Teachers, Middle School",25-0000,25-2000,25-2040,25-2042,6,Detailed Occupation
25-2043,"Special Education Teachers, Secondary School",25-0000,25-2000,25-2040,25-2043,6,Detailed Occupation
25-3000,Other Teachers and Instructors,25-0000,25-3000,NA,NA,3,Minor Group
25-3010,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",25-0000,25-3000,25-3010,NA,5,Broad Occupation
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",25-0000,25-3000,25-3010,25-3011,6,Detailed Occupation
25-3020,Self-Enrichment Education Teachers,25-0000,25-3000,25-3020,NA,5,Broad Occupation
25-3021,Self-Enrichment Education Teachers,25-0000,25-3000,25-3020,25-3021,6,Detailed Occupation
25-3090,Miscellaneous Teachers and Instructors,25-0000,25-3000,25-3090,NA,5,Broad Occupation
25-3099,"Teachers and Instructors, All Other",25-0000,25-3000,25-3090,25-3099,6,Detailed Occupation
25-4000,"Librarians, Curators, and Archivists",25-0000,25-4000,NA,NA,3,Minor Group
25-4010,"Archivists, Curators, and Museum Technicians",25-0000,25-4000,25-4010,NA,5,Broad Occupation
25-4011,Archivists,25-0000,25-4000,25-4010,25-4011,6,Detailed Occupation
25-4012,Curators,25-0000,25-4000,25-4010,25-4012,6,Detailed Occupation
25-4013,Museum Technicians and Conservators,25-0000,25-4000,25-4010,25-4013,6,Detailed Occupation
25-4020,Librarians,25-0000,25-4000,25-4020,NA,5,Broad Occupation
25-4021,Librarians,25-0000,25-4000,25-4020,25-4021,6,Detailed Occupation
25-4030,Library Technicians,25-0000,25-4000,25-4030,NA,5,Broad Occupation
25-4031,Library Technicians,25-0000,25-4000,25-4030,25-4031,6,Detailed Occupation
25-9000,"Other Education, Training, and Library Occupations",25-0000,25-9000,NA,NA,3,Minor Group
25-9010,Audio-Visual Collections Specialists,25-0000,25-9000,25-9010,NA,5,Broad Occupation
25-9011,Audio-Visual Collections Specialists,25-0000,25-9000,25-9010,25-9011,6,Detailed Occupation
25-9020,Farm and Home Management Advisors,25-0000,25-9000,25-9020,NA,5,Broad Occupation
25-9021,Farm and Home Management Advisors,25-0000,25-9000,25-9020,25-9021,6,Detailed Occupation
25-9030,Instructional Coordinators,25-0000,25-9000,25-9030,NA,5,Broad Occupation
25-9031,Instructional Coordinators,25-0000,25-9000,25-9030,25-9031,6,Detailed Occupation
25-9040,Teacher Assistants,25-0000,25-9000,25-9040,NA,5,Broad Occupation
25-9041,Teacher Assistants,25-0000,25-9000,25-9040,25-9041,6,Detailed Occupation
25-9090,"Miscellaneous Education, Training, and Library Workers",25-0000,25-9000,25-9090,NA,5,Broad Occupation
25-9099,"Education, Training, and Library Workers, All Other",25-0000,25-9000,25-9090,25-9099,6,Detailed Occupation
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",27-0000,NA,NA,NA,2,Major Group
27-1000,Art and Design Workers,27-0000,27-1000,NA,NA,3,Minor Group
27-1010,Artists and Related Workers,27-0000,27-1000,27-1010,NA,5,Broad Occupation
27-1011,Art Directors,27-0000,27-1000,27-1010,27-1011,6,Detailed Occupation
27-1012,Craft Artists,27-0000,27-1000,27-1010,27-1012,6,Detailed Occupation
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-0000,27-1000,27-1010,27-1013,6,Detailed Occupation
27-1014,Multi-Media Artists and Animators,27-0000,27-1000,27-1010,27-1014,6,Detailed Occupation
27-1019,"Artists and Related Workers, All Other",27-0000,27-1000,27-1010,27-1019,6,Detailed Occupation
27-1020,Designers,27-0000,27-1000,27-1020,NA,5,Broad Occupation
27-1021,Commercial and Industrial Designers,27-0000,27-1000,27-1020,27-1021,6,Detailed Occupation
27-1022,Fashion Designers,27-0000,27-1000,27-1020,27-1022,6,Detailed Occupation
27-1023,Floral Designers,27-0000,27-1000,27-1020,27-1023,6,Detailed Occupation
27-1024,Graphic Designers,27-0000,27-1000,27-1020,27-1024,6,Detailed Occupation
27-1025,Interior Designers,27-0000,27-1000,27-1020,27-1025,6,Detailed Occupation
27-1026,Merchandise Displayers and Window Trimmers,27-0000,27-1000,27-1020,27-1026,6,Detailed Occupation
27-1027,Set and Exhibit Designers,27-0000,27-1000,27-1020,27-1027,6,Detailed Occupation
27-1029,"Designers, All Other",27-0000,27-1000,27-1020,27-1029,6,Detailed Occupation
27-2000,"Entertainers and Performers, Sports and Related Workers",27-0000,27-2000,NA,NA,3,Minor Group
27-2010,"Actors, Producers, and Directors",27-0000,27-2000,27-2010,NA,5,Broad Occupation
27-2011,Actors,27-0000,27-2000,27-2010,27-2011,6,Detailed Occupation
27-2012,Producers and Directors,27-0000,27-2000,27-2010,27-2012,6,Detailed Occupation
27-2020,"Athletes, Coaches, Umpires, and Related Workers",27-0000,27-2000,27-2020,NA,5,Broad Occupation
27-2021,Athletes and Sports Competitors,27-0000,27-2000,27-2020,27-2021,6,Detailed Occupation
27-2022,Coaches and Scouts,27-0000,27-2000,27-2020,27-2022,6,Detailed Occupation
27-2023,"Umpires, Referees, and Other Sports Officials",27-0000,27-2000,27-2020,27-2023,6,Detailed Occupation
27-2030,Dancers and Choreographers,27-0000,27-2000,27-2030,NA,5,Broad Occupation
27-2031,Dancers,27-0000,27-2000,27-2030,27-2031,6,Detailed Occupation
27-2032,Choreographers,27-0000,27-2000,27-2030,27-2032,6,Detailed Occupation
27-2040,"Musicians, Singers, and Related Workers",27-0000,27-2000,27-2040,NA,5,Broad Occupation
27-2041,Music Directors and Composers,27-0000,27-2000,27-2040,27-2041,6,Detailed Occupation
27-2042,Musicians and Singers,27-0000,27-2000,27-2040,27-2042,6,Detailed Occupation
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",27-0000,27-2000,27-2090,NA,5,Broad Occupation
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",27-0000,27-2000,27-2090,27-2099,6,Detailed Occupation
27-3000,Media and Communication Workers,27-0000,27-3000,NA,NA,3,Minor Group
27-3010,Announcers,27-0000,27-3000,27-3010,NA,5,Broad Occupation
27-3011,Radio and Television Announcers,27-0000,27-3000,27-3010,27-3011,6,Detailed Occupation
27-3012,Public Address System and Other Announcers,27-0000,27-3000,27-3010,27-3012,6,Detailed Occupation
27-3020,"News Analysts, Reporters and Correspondents",27-0000,27-3000,27-3020,NA,5,Broad Occupation
27-3021,Broadcast News Analysts,27-0000,27-3000,27-3020,27-3021,6,Detailed Occupation
27-3022,Reporters and Correspondents,27-0000,27-3000,27-3020,27-3022,6,Detailed Occupation
27-3030,Public Relations Specialists,27-0000,27-3000,27-3030,NA,5,Broad Occupation
27-3031,Public Relations Specialists,27-0000,27-3000,27-3030,27-3031,6,Detailed Occupation
27-3040,Writers and Editors,27-0000,27-3000,27-3040,NA,5,Broad Occupation
27-3041,Editors,27-0000,27-3000,27-3040,27-3041,6,Detailed Occupation
27-3042,Technical Writers,27-0000,27-3000,27-3040,27-3042,6,Detailed Occupation
27-3043,Writers and Authors,27-0000,27-3000,27-3040,27-3043,6,Detailed Occupation
27-3090,Miscellaneous Media and Communication Workers,27-0000,27-3000,27-3090,NA,5,Broad Occupation
27-3091,Interpreters and Translators,27-0000,27-3000,27-3090,27-3091,6,Detailed Occupation
27-3099,"Media and Communication Workers, All Other",27-0000,27-3000,27-3090,27-3099,6,Detailed Occupation
27-4000,Media and Communication Equipment Workers,27-0000,27-4000,NA,NA,3,Minor Group
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,27-0000,27-4000,27-4010,NA,5,Broad Occupation
27-4011,Audio and Video Equipment Technicians,27-0000,27-4000,27-4010,27-4011,6,Detailed Occupation
27-4012,Broadcast Technicians,27-0000,27-4000,27-4010,27-4012,6,Detailed Occupation
27-4013,Radio Operators,27-0000,27-4000,27-4010,27-4013,6,Detailed Occupation
27-4014,Sound Engineering Technicians,27-0000,27-4000,27-4010,27-4014,6,Detailed Occupation
27-4020,Photographers,27-0000,27-4000,27-4020,NA,5,Broad Occupation
27-4021,Photographers,27-0000,27-4000,27-4020,27-4021,6,Detailed Occupation
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",27-0000,27-4000,27-4030,NA,5,Broad Occupation
27-4031,"Camera Operators, Television, Video, and Motion Picture",27-0000,27-4000,27-4030,27-4031,6,Detailed Occupation
27-4032,Film and Video Editors,27-0000,27-4000,27-4030,27-4032,6,Detailed Occupation
27-4090,Miscellaneous Media and Communication Equipment Workers,27-0000,27-4000,27-4090,NA,5,Broad Occupation
27-4099,"Media and Communication Equipment Workers, All Other",27-0000,27-4000,27-4090,27-4099,6,Detailed Occupation
29-0000,Healthcare Practitioners and Technical Occupations,29-0000,NA,NA,NA,2,Major Group
29-1000,Health Diagnosing and Treating Practitioners,29-0000,29-1000,NA,NA,3,Minor Group
29-1010,Chiropractors,29-0000,29-1000,29-1010,NA,5,Broad Occupation
29-1011,Chiropractors,29-0000,29-1000,29-1010,29-1011,6,Detailed Occupation
29-1020,Dentists,29-0000,29-1000,29-1020,NA,5,Broad Occupation
29-1021,"Dentists, General",29-0000,29-1000,29-1020,29-1021,6,Detailed Occupation
29-1022,Oral and Maxillofacial Surgeons,29-0000,29-1000,29-1020,29-1022,6,Detailed Occupation
29-1023,Orthodontists,29-0000,29-1000,29-1020,29-1023,6,Detailed Occupation
29-1024,Prosthodontists,29-0000,29-1000,29-1020,29-1024,6,Detailed Occupation
29-1029,"Dentists, All Other Specialists",29-0000,29-1000,29-1020,29-1029,6,Detailed Occupation
29-1030,Dietitians and Nutritionists,29-0000,29-1000,29-1030,NA,5,Broad Occupation
29-1031,Dietitians and Nutritionists,29-0000,29-1000,29-1030,29-1031,6,Detailed Occupation
29-1040,Optometrists,29-0000,29-1000,29-1040,NA,5,Broad Occupation
29-1041,Optometrists,29-0000,29-1000,29-1040,29-1041,6,Detailed Occupation
29-1050,Pharmacists,29-0000,29-1000,29-1050,NA,5,Broad Occupation
29-1051,Pharmacists,29-0000,29-1000,29-1050,29-1051,6,Detailed Occupation
29-1060,Physicians and Surgeons,29-0000,29-1000,29-1060,NA,5,Broad Occupation
29-1061,Anesthesiologists,29-0000,29-1000,29-1060,29-1061,6,Detailed Occupation
29-1062,Family and General Practitioners,29-0000,29-1000,29-1060,29-1062,6,Detailed Occupation
29-1063,"Internists, General",29-0000,29-1000,29-1060,29-1063,6,Detailed Occupation
29-1064,Obstetricians and Gynecologists,29-0000,29-1000,29-1060,29-1064,6,Detailed Occupation
29-1065,"Pediatricians, General",29-0000,29-1000,29-1060,29-1065,6,Detailed Occupation
29-1066,Psychiatrists,29-0000,29-1000,29-1060,29-1066,6,Detailed Occupation
29-1067,Surgeons,29-0000,29-1000,29-1060,29-1067,6,Detailed Occupation
29-1069,"Physicians and Surgeons, All Other",29-0000,29-1000,29-1060,29-1069,6,Detailed Occupation
29-1070,Physician Assistants,29-0000,29-1000,29-1070,NA,5,Broad Occupation
29-1071,Physician Assistants,29-0000,29-1000,29-1070,29-1071,6,Detailed Occupation
29-1080,Podiatrists,29-0000,29-1000,29-1080,NA,5,Broad Occupation
29-1081,Podiatrists,29-0000,29-1000,29-1080,29-1081,6,Detailed Occupation
29-1110,Registered Nurses,29-0000,29-1000,29-1110,NA,5,Broad Occupation
29-1111,Registered Nurses,29-0000,29-1000,29-1110,29-1111,6,Detailed Occupation
29-1120,Therapists,29-0000,29-1000,29-1120,NA,5,Broad Occupation
29-1121,Audiologists,29-0000,29-1000,29-1120,29-1121,6,Detailed Occupation
29-1122,Occupational Therapists,29-0000,29-1000,29-1120,29-1122,6,Detailed Occupation
29-1123,Physical Therapists,29-0000,29-1000,29-1120,29-1123,6,Detailed Occupation
29-1124,Radiation Therapists,29-0000,29-1000,29-1120,29-1124,6,Detailed Occupation
29-1125,Recreational Therapists,29-0000,29-1000,29-1120,29-1125,6,Detailed Occupation
29-1126,Respiratory Therapists,29-0000,29-1000,29-1120,29-1126,6,Detailed Occupation
29-1127,Speech-Language Pathologists,29-0000,29-1000,29-1120,29-1127,6,Detailed Occupation
29-1129,"Therapists, All Other",29-0000,29-1000,29-1120,29-1129,6,Detailed Occupation
29-1130,Veterinarians,29-0000,29-1000,29-1130,NA,5,Broad Occupation
29-1131,Veterinarians,29-0000,29-1000,29-1130,29-1131,6,Detailed Occupation
29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,29-0000,29-1000,29-1190,NA,5,Broad Occupation
29-1199,"Health Diagnosing and Treating Practitioners, All Other",29-0000,29-1000,29-1190,29-1199,6,Detailed Occupation
29-2000,Health Technologists and Technicians,29-0000,29-2000,NA,NA,3,Minor Group
29-2010,Clinical Laboratory Technologists and Technicians,29-0000,29-2000,29-2010,NA,5,Broad Occupation
29-2011,Medical and Clinical Laboratory Technologists,29-0000,29-2000,29-2010,29-2011,6,Detailed Occupation
29-2012,Medical and Clinical Laboratory Technicians,29-0000,29-2000,29-2010,29-2012,6,Detailed Occupation
29-2020,Dental Hygienists,29-0000,29-2000,29-2020,NA,5,Broad Occupation
29-2021,Dental Hygienists,29-0000,29-2000,29-2020,29-2021,6,Detailed Occupation
29-2030,Diagnostic Related Technologists and Technicians,29-0000,29-2000,29-2030,NA,5,Broad Occupation
29-2031,Cardiovascular Technologists and Technicians,29-0000,29-2000,29-2030,29-2031,6,Detailed Occupation
29-2032,Diagnostic Medical Sonographers,29-0000,29-2000,29-2030,29-2032,6,Detailed Occupation
29-2033,Nuclear Medicine Technologists,29-0000,29-2000,29-2030,29-2033,6,Detailed Occupation
29-2034,Radiologic Technologists and Technicians,29-0000,29-2000,29-2030,29-2034,6,Detailed Occupation
29-2040,Emergency Medical Technicians and Paramedics,29-0000,29-2000,29-2040,NA,5,Broad Occupation
29-2041,Emergency Medical Technicians and Paramedics,29-0000,29-2000,29-2040,29-2041,6,Detailed Occupation
29-2050,Health Diagnosing and Treating Practitioner Support Technicians,29-0000,29-2000,29-2050,NA,5,Broad Occupation
29-2051,Dietetic Technicians,29-0000,29-2000,29-2050,29-2051,6,Detailed Occupation
29-2052,Pharmacy Technicians,29-0000,29-2000,29-2050,29-2052,6,Detailed Occupation
29-2053,Psychiatric Technicians,29-0000,29-2000,29-2050,29-2053,6,Detailed Occupation
29-2054,Respiratory Therapy Technicians,29-0000,29-2000,29-2050,29-2054,6,Detailed Occupation
29-2055,Surgical Technologists,29-0000,29-2000,29-2050,29-2055,6,Detailed Occupation
29-2056,Veterinary Technologists and Technicians,29-0000,29-2000,29-2050,29-2056,6,Detailed Occupation
29-2060,Licensed Practical and Licensed Vocational Nurses,29-0000,29-2000,29-2060,NA,5,Broad Occupation
29-2061,Licensed Practical and Licensed Vocational Nurses,29-0000,29-2000,29-2060,29-2061,6,Detailed Occupation
29-2070,Medical Records and Health Information Technicians,29-0000,29-2000,29-2070,NA,5,Broad Occupation
29-2071,Medical Records and Health Information Technicians,29-0000,29-2000,29-2070,29-2071,6,Detailed Occupation
29-2080,"Opticians, Dispensing",29-0000,29-2000,29-2080,NA,5,Broad Occupation
29-2081,"Opticians, Dispensing",29-0000,29-2000,29-2080,29-2081,6,Detailed Occupation
29-2090,Miscellaneous Health Technologists and Technicians,29-0000,29-2000,29-2090,NA,5,Broad Occupation
29-2091,Orthotists and Prosthetists,29-0000,29-2000,29-2090,29-2091,6,Detailed Occupation
29-2099,"Health Technologists and Technicians, All Other",29-0000,29-2000,29-2090,29-2099,6,Detailed Occupation
29-9000,Other Healthcare Practitioners and Technical Occupations,29-0000,29-9000,NA,NA,3,Minor Group
29-9010,Occupational Health and Safety Specialists and Technicians,29-0000,29-9000,29-9010,NA,5,Broad Occupation
29-9011,Occupational Health and Safety Specialists,29-0000,29-9000,29-9010,29-9011,6,Detailed Occupation
29-9012,Occupational Health and Safety Technicians,29-0000,29-9000,29-9010,29-9012,6,Detailed Occupation
29-9090,Miscellaneous Health Practitioners and Technical Workers,29-0000,29-9000,29-9090,NA,5,Broad Occupation
29-9091,Athletic Trainers,29-0000,29-9000,29-9090,29-9091,6,Detailed Occupation
29-9099,"Healthcare Practitioners and Technical Workers, All Other",29-0000,29-9000,29-9090,29-9099,6,Detailed Occupation
31-0000,Healthcare Support Occupations,31-0000,NA,NA,NA,2,Major Group
31-1000,"Nursing, Psychiatric, and Home Health Aides",31-0000,31-1000,NA,NA,3,Minor Group
31-1010,"Nursing, Psychiatric, and Home Health Aides",31-0000,31-1000,31-1010,NA,5,Broad Occupation
31-1011,Home Health Aides,31-0000,31-1000,31-1010,31-1011,6,Detailed Occupation
31-1012,"Nursing Aides, Orderlies, and Attendants",31-0000,31-1000,31-1010,31-1012,6,Detailed Occupation
31-1013,Psychiatric Aides,31-0000,31-1000,31-1010,31-1013,6,Detailed Occupation
31-2000,Occupational and Physical Therapist Assistants and Aides,31-0000,31-2000,NA,NA,3,Minor Group
31-2010,Occupational Therapist Assistants and Aides,31-0000,31-2000,31-2010,NA,5,Broad Occupation
31-2011,Occupational Therapist Assistants,31-0000,31-2000,31-2010,31-2011,6,Detailed Occupation
31-2012,Occupational Therapist Aides,31-0000,31-2000,31-2010,31-2012,6,Detailed Occupation
31-2020,Physical Therapist Assistants and Aides,31-0000,31-2000,31-2020,NA,5,Broad Occupation
31-2021,Physical Therapist Assistants,31-0000,31-2000,31-2020,31-2021,6,Detailed Occupation
31-2022,Physical Therapist Aides,31-0000,31-2000,31-2020,31-2022,6,Detailed Occupation
31-9000,Other Healthcare Support Occupations,31-0000,31-9000,NA,NA,3,Minor Group
31-9010,Massage Therapists,31-0000,31-9000,31-9010,NA,5,Broad Occupation
31-9011,Massage Therapists,31-0000,31-9000,31-9010,31-9011,6,Detailed Occupation
31-9090,Miscellaneous Healthcare Support Occupations,31-0000,31-9000,31-9090,NA,5,Broad Occupation
31-9091,Dental Assistants,31-0000,31-9000,31-9090,31-9091,6,Detailed Occupation
31-9092,Medical Assistants,31-0000,31-9000,31-9090,31-9092,6,Detailed Occupation
31-9093,Medical Equipment Preparers,31-0000,31-9000,31-9090,31-9093,6,Detailed Occupation
31-9094,Medical Transcriptionists,31-0000,31-9000,31-9090,31-9094,6,Detailed Occupation
31-9095,Pharmacy Aides,31-0000,31-9000,31-9090,31-9095,6,Detailed Occupation
